epoch	__eegfeat_row_id	eeg_band-power_theta_f3_baseline_log10_p054e629946be	eeg_band-power_theta_f3_stimulus_log10_pd01b7b68dfb1	eeg_band-power_theta_fz_baseline_log10_pe502d38a5f3c	eeg_band-power_theta_fz_stimulus_log10_p3e19855d588f	eeg_band-power_theta_f4_baseline_log10_p65d1d08c711b	eeg_band-power_theta_f4_stimulus_log10_pb586d2770ddd	eeg_band-power_theta_c3_baseline_log10_pc1fcdaca16b9	eeg_band-power_theta_c3_stimulus_log10_p3f0c36432e7b	eeg_band-power_theta_cz_baseline_log10_p6f6d834995ef	eeg_band-power_theta_cz_stimulus_log10_p36a8fd9906a5	eeg_band-power_theta_c4_baseline_log10_p3c6e7c07204a	eeg_band-power_theta_c4_stimulus_log10_p91ccf0dfe734	eeg_band-power_theta_p3_baseline_log10_p66075faa5f20	eeg_band-power_theta_p3_stimulus_log10_p8f5035c1d355	eeg_band-power_theta_pz_baseline_log10_pa9af666837b8	eeg_band-power_theta_pz_stimulus_log10_p56addceae493	eeg_band-power_theta_global_baseline_log10_p0e4e10f1332b	eeg_band-power_theta_global_stimulus_log10_pb8d5068a7130	eeg_band-power_alpha_f3_baseline_log10_pc390830bc521	eeg_band-power_alpha_f3_stimulus_log10_p8804e96f644e	eeg_band-power_alpha_fz_baseline_log10_pd852642d1786	eeg_band-power_alpha_fz_stimulus_log10_p23e24f4d2184	eeg_band-power_alpha_f4_baseline_log10_pea61ffed32f7	eeg_band-power_alpha_f4_stimulus_log10_p3a9b6511687c	eeg_band-power_alpha_c3_baseline_log10_paa31e1aae18b	eeg_band-power_alpha_c3_stimulus_log10_pcbf4a21389cd	eeg_band-power_alpha_cz_baseline_log10_pfd7e9e67a9c3	eeg_band-power_alpha_cz_stimulus_log10_p70019fcb33ba	eeg_band-power_alpha_c4_baseline_log10_p64638e5defd6	eeg_band-power_alpha_c4_stimulus_log10_pe7305adb9c6b	eeg_band-power_alpha_p3_baseline_log10_p0c21cd555a36	eeg_band-power_alpha_p3_stimulus_log10_p72c042d3a74c	eeg_band-power_alpha_pz_baseline_log10_p1545dbb7f27c	eeg_band-power_alpha_pz_stimulus_log10_pbd8bd8628932	eeg_band-power_alpha_global_baseline_log10_pc43f513a2670	eeg_band-power_alpha_global_stimulus_log10_pb3205131ea8a	eeg_band-power_beta_f3_baseline_log10_pd738eab41bda	eeg_band-power_beta_f3_stimulus_log10_p0147e57543a6	eeg_band-power_beta_fz_baseline_log10_p7af3517322cd	eeg_band-power_beta_fz_stimulus_log10_pf475473a0819	eeg_band-power_beta_f4_baseline_log10_pa54768931968	eeg_band-power_beta_f4_stimulus_log10_p89b9a04237dc	eeg_band-power_beta_c3_baseline_log10_pc7830efdbed1	eeg_band-power_beta_c3_stimulus_log10_p4d1ff84996dd	eeg_band-power_beta_cz_baseline_log10_pb0192c547e9f	eeg_band-power_beta_cz_stimulus_log10_p90b6357bf4f8	eeg_band-power_beta_c4_baseline_log10_p27dde85bd971	eeg_band-power_beta_c4_stimulus_log10_p6d8cba880655	eeg_band-power_beta_p3_baseline_log10_p8d88cad1754c	eeg_band-power_beta_p3_stimulus_log10_pe23b7f4567e5	eeg_band-power_beta_pz_baseline_log10_pf5103df8caa8	eeg_band-power_beta_pz_stimulus_log10_p3af8cadd970b	eeg_band-power_beta_global_baseline_log10_pd1c15d6e3e49	eeg_band-power_beta_global_stimulus_log10_pc27c5decda8e	eeg_erds-mean_alpha_central_stimulus_db_pd6572187a139	eeg_erds-mean_alpha_parietal_stimulus_db_p897eb46df59a	eeg_erds-mean_alpha_global_stimulus_db_p933489bf1e80	eeg_erds-mean_beta_central_stimulus_db_p4413159fab68	eeg_erds-mean_beta_parietal_stimulus_db_p2229f8bbcd91	eeg_erds-mean_beta_global_stimulus_db_p27f9e744b5c9	eeg_peak-freq-adjusted_alpha_global_baseline_raw_p4a4d6d56aaa4	eeg_peak-freq-adjusted_alpha_global_stimulus_raw_p834b47a11de6
0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",0,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",1,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",2,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",3,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",4,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",5,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",6,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
7	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",7,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",8,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",9,""stim""]"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
